artist,venue,date
William the Conqueror,The Hope & Ruin
Space Fragile Creatures,The Haunt
Miloš Karadaglić,Brighton Dome
Liima,Patterns (formerly Audio)
Newtown Neurotics,Prince Albert
Feral Is Kinky,The Monty
Barnacles (UK),Brighton Dome Studio Theatre
Giant Sand and Jason Lytle,All Saints Church
Sworn To Oath,Sticky Mike's
Mike Ross,The Latest Music Bar
Bellowhead,Brighton Dome
Gregory Porter,Brighton Dome
Basia Bulat,The Hope & Ruin
Lulu,Komedia Brighton
Lux Lisbon,The Green Door Store
The Funky Knuckles,The Hope & Ruin
Shonen Knife,The Haunt
Mike Dignam,"Komedia, Studio Bar"
Kimya Dawson Little Wings,Patterns (formerly Audio)
William Fitzsimmons,Komedia Brighton
Modern Baseball Pup and Three Man Cannon,Sticky Mike's Frog Bar
Matthew and the Atlas,The Green Door Store
Lazy Habits,The Haunt
Chelsea,Prince Albert
SASASAS,Concorde 2
NAO Demo Taped,The Haunt
The Monochrome Set,The Hope & Ruin
Absolute Bowie,Concorde 2
The Undercover Hippy,Komedia Brighton
Explosions in the Sky,"Concert Hall, Brighton Dome"
Afrikan Boy,The Green Door Store
Krak Krak Broker and Mister Lizard,Prince Albert
Lake Street Dive,Komedia Brighton
Calexico,Brighton Dome
Dizraeli,The Hope & Ruin
prince vaseline The Bin Bags and Black Bunny,Prince Albert
Hiatus Kaiyote,The Old Market (TOM)
GNOD,The Green Door Store
Ben Poole Mike Ross,The Latest Music Bar
Dan Sartain,Bleach
High Tyde,The Haunt
gloo,The Latest Music Bar
The Number Ones DASKINSEY 4 and rotten foxes,The Hope & Ruin
Mark Lanegan Duke Garwood,St George's Church
The Lovely Eggs,Patterns (formerly Audio)
Radiation City,The Hope & Ruin
Vic Godard & Subway Sect The Bitter Springs,The Green Door Store
Iron Chic Bear Trade,The Green Door Store
Aquilo,Patterns (formerly Audio)
TTNG Tangled Hair and Delta Sleep,The Haunt
TTNG Tangled Hair and Delta Sleep,The Haunt
exmagician,The Hope & Ruin
Three Trapped Tigers,The Haunt
Ali Astro and Mickey,Brighton Centre
The Long Ryders,Concorde 2
New Candys Projector and Maybelleen,Sticky Mike's Frog Bar
The Icicle Works,Komedia Brighton
Wussy,The Hope & Ruin
Palehorse,Prince Albert
Tacocat,Sticky Mike's Frog Bar
Coco and the Butterfields,The Hope & Ruin
Small Fakers,Concorde 2
Brighton Fringe Festival 2016 Marilyn Carino,The Latest Music Bar
Yes,Brighton Centre
Rat Boy,Concorde 2
The Howling Hex Neil Michael Hagerty & the Howling Hex,Prince Albert
Pure Youth Rory Indiana and Thoughts,Bleach
"The Standard Lamps, Tenderhooks, and Idle Talk",The Latest Music Bar
Quilt,The Hope & Ruin
Tourist,The Haunt
"The Nightingales Ted Chippington and I, Ludicrous",The Green Door Store
Mr. Scruff,Concorde 2
Benjamin Francis Leftwich,The Green Door Store
Grandmaster Flash,Concorde 2
UK Subs,Sticky Mike's Frog Bar
gloo,The Hope & Ruin
The Sweetchunks band,Prince Albert
Grandmaster Flash,Concorde 2
Support Ruin,The Hope & Ruin
Il Divo,Brighton Centre
The Bennies Throwing Stuff,The Hope & Ruin
9Bach,Komedia Brighton
Yuck,Sticky Mike's Frog Bar
Oh Wonder Shura and Mura Masa,All Saints Church
The Great Escape,Various Brighton Venues
Songhoy Blues and Fatoumata Diawara,The Old Market (TOM)
The Rumjacks The Drunken Ramblings,The Green Door Store
Fort Hope,Patterns (formerly Audio)
Os Noctàmbulos,The Hope & Ruin
Beth Hart,St George's Church
The Burning Hell Octopuses and Capt.Lovelace,The Hope & Ruin
Andy Shauf,The Hope & Ruin
Mortiis,The Haunt
Dre Rich Kidd,Brighton Centre
Jagwar Ma,Patterns (formerly Audio)
Adam Ant,Brighton Centre
Föllakzoid,Bleach
"Downtown Boys Big Joanie, MOLAR, and Daskinsey4",The Green Door Store
Aswad,Concorde 2
Dre Rich Kidd,Brighton Centre
Julien Baker,The Green Door Store
King Khan & The Shrines,Patterns (formerly Audio)
Some Some Unicorn,The Green Door Store
Zoe Konez Chuck SJ Hay and Dirty Scavenger,The Green Door Store
Rufus Wainwright,Brighton Dome
Beverley Knight,Brighton Dome
Thousand Yard Stare,The Hope & Ruin
Molly Nilsson,The Green Door Store
Hypnotized Septillion J,Prince Albert
Sham 69 Angelic Upstarts,Concorde 2
Public Image Ltd.,Concorde 2
Compa,Concorde 2
Ben Folds Ymusic,"Concert Hall, Brighton Dome"
Chris Betts,Komedia Brighton
"Brighton Noise Presents: Day IV 2016 The Soft Walls, Lutine, Zofff, and Stephanie Goodman",The Green Door Store
Mudhoney,Concorde 2
"The Smith Street Band Apologies, I Have None and Woahnows",Prince Albert
Absolute Bowie,Concorde 2
Chameleons Vox,The Haunt
Adolescents,The Green Door Store
Ghostlimb and Graf Orlock,Prince Albert
Charlie Parr,Bleach
Miracle Legion,The Hope & Ruin
Penetration,The Haunt
"At The Edge Of The Sea 2016 The Wedding Present, Cinerama, and Watoo Watoo",Concorde 2
Chas 'n' Dave,Concorde 2
Testartistad,The Latest Music Bar
The Smyths,Concorde 2
The Beat Starring Dave Wakeling,Concorde 2
Ronan Keating,Brighton Centre
The Tubes,Concorde 2
Buzzcocks,Concorde 2
Jamie Lawson,Brighton Dome
The Australian Pink Floyd Show,Brighton Centre
Poliça,Concorde 2
Big Country,Concorde 2
Nine Below Zero,Concorde 2
Deacon Blue,Brighton Centre
Electric Six,Concorde 2
Secret Affair,The Haunt
The Human League EKKOES,Brighton Centre
From The Jam,Concorde 2
Jools Holland & His Rhythm & Blues Orchestra Jools Holland,Brighton Centre
From The Jam,Concorde 2
Bootleg Beatles,Brighton Centre
